author,comment,likes,published
@leevangobel1749,"Dulu zaman kami SD tahun 90an , ada program mirip MBG , namanya PMTAS ( Program Makanan Tambahan Anak Sekolah) , bedanya dulu program nya di kelola langsung oleh pihak sekolah jadi lebih efisien dan mudah di kontrol dan tidak makan anggaran besar, kalo sekarang MBG ini kelemahan nya adalah di kelola secara masal , misal dalam satu kabupaten mengelola MBG utk di salurkan ke ratusan sekolah dan ribuan siswa sehingga dari distribusi aja sudah tidak efisien , satu satu nya SOLUSI  adalah program MBG di kembalikan ke pihak sekolah langsung yg mengelola nya sehingga mudah ter kontrol dan lebih efisien baik dari segi teknis pengelolaan nya maupun anggaran juga lebih hemat",1,2025-09-26T18:25:55Z
@aragakikidz7672,"MBG = Pembunuh Anak Bangsa ...
Ga ada MBG ga masalah, ga ada yg keracunan massal ...
Usut KORUPSI MBG ... !!!",1,2025-09-26T16:16:56Z
@ZakekyZakeky-q3x,"Gaji dikit pemerintah pajek naik dn lum lg ap2 mahal naik 2smp3x. Lengkp deh pak lum lg bntuan di korupsi, uang rkyt dikorupsi kekayaan alm di miliki swasta bkn untuk di bgikn rakyt nya, hem....oligrki2 yg menguasai itu lho pak yg mmbuat rkyt miskin 😡",3,2025-09-26T16:05:59Z
@mr.rojerrojer5496,"Di otak si botak ini cuma angka target banyak penerima MBG, tp ga ada diotaknya bagaimana anak2 yg keracunan dan orgtua yg was-was ketika anaknya sekolah mendapat MBG, pulang senang atau sakit..",1,2025-09-26T13:21:50Z
@mamaskhafid,kantin kantin tersenyum,0,2025-09-26T03:36:04Z
@suryamanmepadli2877,"Dilapangan .....masalah nyata :
1. Ketua Sppg banyak orang titipan ....dan banyak yg tak punya skill
2. Pihak tertentu di daerah ....minta jatah mulai dari 500 rp per porsi
3. Banyak dapur MBG yang terpaksa merekrut tenaga mitra nya jumlahnya sedikit.....hingga beban kerjanya berat sekali
4. Yayasan yang mengelola dan ketjadama dengan MBG kebanyakan milik Anggota DPR....sering menjadi konflik kepentingan",0,2025-09-25T06:14:06Z
@raisl9352,"KERACUNAN DI MANA"" cuma ada dua kemungkinan. KORUPTOR beraksi. atau KERACUNAN disengaja. Karena mana ada keracunan masif diberbagai kota. Bisa jadi mempermalukan Mr.  Presiden. Kalo saya orang tua. akan saya LARANG anak saya buat makan MBG sementara. Sampai ada jawaban yang tidak BEGO dari pengelola MBG. Kemaren dijawab alergi. itu salah satu yang BEGO",1,2025-09-24T13:51:53Z
@Ulieeeverse,"Ijin komen ,..stop MBG ,karna banyak generasi muda yg keracunan ,
Lebih baik berupa uang ajja di kasih ke wali murid ,,biar masak sendiri ,sesuai selera mereka ,...",0,2025-09-24T01:41:10Z
@NyomanSuryasa,"Program paling tidak berguna yang pernah ada, dan hanya menjadi ladang korupsi, yang sangat keji, sehingga menyebabkan anak anak yang tidak tau apa-apa harus menanggung nyawa mereka. Ke goblokan yang pernah ada, dan tidak ada yang mau investigasi serius dan hentikan secepatnya program tersebut.",1,2025-09-23T01:30:48Z
@KirnoWibowo-w6t,"Seharus nya Bgn menunjuk lembaga independen sbg pengawas/ pendamping atas pelaksanaan mbg,yg berfungsi sbg Person in charge, dr tingkat pusat sampai ke penerima manfaat,",0,2025-09-22T15:26:58Z
